Algorithm,Success,Path Length,Path Cost,Nodes Expanded,Nodes Generated,Max Frontier,Execution Time,Trial,Grid Size,Obstacle Probability,Grid Dimension
BFS,True,18,18.0,81,81,10,0.001122299931012094,0,10x10,0.2,10
UCS,True,18,18.0,81,81,10,0.0012043999740853906,0,10x10,0.2,10
Greedy,True,18,18.0,19,34,16,0.00020260002929717302,0,10x10,0.2,10
A*,True,18,18.0,76,80,12,0.0007156999781727791,0,10x10,0.2,10
BFS,True,18,18.0,84,84,10,0.0005883000558242202,1,10x10,0.2,10
UCS,True,18,18.0,84,84,10,0.0010234999936074018,1,10x10,0.2,10
Greedy,True,20,20.0,21,37,17,0.000331499963067472,1,10x10,0.2,10
A*,True,18,18.0,72,83,18,0.0014586999313905835,1,10x10,0.2,10
BFS,True,18,18.0,77,78,10,0.0005426000570878386,2,10x10,0.2,10
UCS,True,18,18.0,77,78,10,0.0005979000125080347,2,10x10,0.2,10
Greedy,True,28,28.0,37,53,17,0.0003205999964848161,2,10x10,0.2,10
A*,True,18,18.0,72,78,12,0.0007701999275013804,2,10x10,0.2,10
BFS,True,18,18.0,79,79,8,0.0005291999550536275,3,10x10,0.2,10
UCS,True,18,18.0,79,79,8,0.0005683999042958021,3,10x10,0.2,10
Greedy,True,24,24.0,42,52,13,0.0004482000367715955,3,10x10,0.2,10
A*,True,18,18.0,67,71,9,0.0006384000880643725,3,10x10,0.2,10
BFS,True,18,18.0,82,82,11,0.0005453000776469707,4,10x10,0.2,10
UCS,True,18,18.0,82,82,11,0.0005950001068413258,4,10x10,0.2,10
Greedy,True,18,18.0,20,35,16,0.0001596000511199236,4,10x10,0.2,10
A*,True,18,18.0,63,71,15,0.0005222999025136232,4,10x10,0.2,10
BFS,True,38,38.0,316,316,25,0.0023271999089047313,0,20x20,0.2,20
UCS,True,38,38.0,316,316,25,0.0028669999446719885,0,20x20,0.2,20
Greedy,True,42,42.0,46,84,39,0.0004078999627381563,0,20x20,0.2,20
A*,True,38,38.0,210,232,29,0.0016534999012947083,0,20x20,0.2,20
BFS,True,38,38.0,315,315,18,0.002915099961683154,1,20x20,0.2,20
UCS,True,38,38.0,315,315,18,0.0030987000791355968,1,20x20,0.2,20
Greedy,True,42,42.0,55,96,42,0.0006525999633595347,1,20x20,0.2,20
A*,True,38,38.0,245,278,41,0.0038946999702602625,1,20x20,0.2,20
BFS,True,38,38.0,334,334,19,0.0032682999735698104,2,20x20,0.2,20
UCS,True,38,38.0,334,334,19,0.003848699969239533,2,20x20,0.2,20
Greedy,True,42,42.0,44,86,43,0.0004616000223904848,2,20x20,0.2,20
A*,True,38,38.0,229,258,38,0.0021344999549910426,2,20x20,0.2,20
BFS,True,38,38.0,315,315,22,0.001975300023332238,3,20x20,0.2,20
UCS,True,38,38.0,315,315,22,0.0021628999384120107,3,20x20,0.2,20
Greedy,True,40,40.0,42,78,37,0.00036049995105713606,3,20x20,0.2,20
A*,True,38,38.0,224,254,41,0.0016599999507889152,3,20x20,0.2,20
BFS,True,38,38.0,322,322,23,0.0019734998932108283,4,20x20,0.2,20
UCS,True,38,38.0,322,322,23,0.002175400033593178,4,20x20,0.2,20
Greedy,True,42,42.0,46,83,38,0.0004000000189989805,4,20x20,0.2,20
A*,True,38,38.0,228,253,37,0.0016626000870019197,4,20x20,0.2,20
BFS,True,58,58.0,723,723,27,0.003387400065548718,0,30x30,0.2,30
UCS,True,58,58.0,723,723,27,0.004041100037284195,0,30x30,0.2,30
Greedy,True,68,68.0,82,148,67,0.0005543000297620893,0,30x30,0.2,30
A*,True,58,58.0,531,583,65,0.0034398999996483326,0,30x30,0.2,30
BFS,True,58,58.0,707,707,29,0.003306700033135712,1,30x30,0.2,30
UCS,True,58,58.0,707,707,29,0.003942699986509979,1,30x30,0.2,30
Greedy,True,64,64.0,82,136,55,0.0005500999977812171,1,30x30,0.2,30
A*,True,58,58.0,491,550,63,0.0030607000226154923,1,30x30,0.2,30
BFS,True,58,58.0,704,707,30,0.0033032000064849854,2,30x30,0.2,30
UCS,True,58,58.0,704,707,30,0.0039588999934494495,2,30x30,0.2,30
Greedy,True,62,62.0,65,120,56,0.0004437000025063753,2,30x30,0.2,30
A*,True,58,58.0,529,596,81,0.0033192000119015574,2,30x30,0.2,30
BFS,True,58,58.0,694,695,33,0.0032390999840572476,3,30x30,0.2,30
UCS,True,58,58.0,694,695,33,0.0038744000485166907,3,30x30,0.2,30
Greedy,True,76,76.0,113,157,45,0.0006905000191181898,3,30x30,0.2,30
A*,True,58,58.0,326,378,57,0.002041999949142337,3,30x30,0.2,30
BFS,True,58,58.0,746,746,29,0.0035550000611692667,4,30x30,0.2,30
UCS,True,58,58.0,746,746,29,0.004228500067256391,4,30x30,0.2,30
Greedy,True,60,60.0,70,116,47,0.000514900078997016,4,30x30,0.2,30
A*,True,58,58.0,596,638,60,0.003688400029204786,4,30x30,0.2,30
BFS,True,98,98.0,1984,1984,50,0.01018620003014803,0,50x50,0.2,50
UCS,True,98,98.0,1984,1984,50,0.011939099989831448,0,50x50,0.2,50
Greedy,True,108,108.0,112,220,109,0.0008809999562799931,0,50x50,0.2,50
A*,True,98,98.0,1207,1350,151,0.0079993000254035,0,50x50,0.2,50
BFS,True,98,98.0,2029,2029,55,0.009657800081185997,1,50x50,0.2,50
UCS,True,98,98.0,2029,2029,55,0.012199199991300702,1,50x50,0.2,50
Greedy,True,126,126.0,197,323,127,0.0013711999636143446,1,50x50,0.2,50
A*,True,98,98.0,1316,1438,131,0.012088699964806437,1,50x50,0.2,50
BFS,True,98,98.0,1979,1979,50,0.00990589999128133,2,50x50,0.2,50
UCS,True,98,98.0,1979,1979,50,0.01147370005492121,2,50x50,0.2,50
Greedy,True,122,122.0,164,270,107,0.00113950006198138,2,50x50,0.2,50
A*,True,98,98.0,1156,1268,123,0.007311500026844442,2,50x50,0.2,50
BFS,True,98,98.0,2043,2043,49,0.01313300000037998,3,50x50,0.2,50
UCS,True,98,98.0,2043,2043,49,0.012758999946527183,3,50x50,0.2,50
Greedy,True,112,112.0,127,226,100,0.000892199925146997,3,50x50,0.2,50
A*,True,98,98.0,1494,1609,127,0.009605000028386712,3,50x50,0.2,50
BFS,True,98,98.0,1990,1990,51,0.009541400009766221,4,50x50,0.2,50
UCS,True,98,98.0,1990,1990,51,0.01144839997868985,4,50x50,0.2,50
Greedy,True,104,104.0,107,204,98,0.000811500009149313,4,50x50,0.2,50
A*,True,98,98.0,1443,1589,155,0.009866600041277707,4,50x50,0.2,50
BFS,True,148,148.0,4439,4439,79,0.021549500059336424,0,75x75,0.2,75
UCS,True,148,148.0,4439,4439,79,0.026327400002628565,0,75x75,0.2,75
Greedy,True,162,162.0,177,321,145,0.0012700998922809958,0,75x75,0.2,75
A*,True,148,148.0,2740,2975,250,0.01873630005866289,0,75x75,0.2,75
BFS,True,148,148.0,4451,4451,71,0.06418400001712143,1,75x75,0.2,75
UCS,True,148,148.0,4451,4451,71,0.03217099991161376,1,75x75,0.2,75
Greedy,True,166,166.0,185,331,147,0.0021920999279245734,1,75x75,0.2,75
A*,True,148,148.0,2894,3164,280,0.023451999993994832,1,75x75,0.2,75
BFS,True,148,148.0,4461,4461,65,0.023574199993163347,2,75x75,0.2,75
UCS,True,148,148.0,4461,4461,65,0.028774600010365248,2,75x75,0.2,75
Greedy,True,186,186.0,289,459,171,0.002148600062355399,2,75x75,0.2,75
A*,True,148,148.0,2649,2898,261,0.02036439999938011,2,75x75,0.2,75
BFS,True,148,148.0,4434,4434,74,0.022486200090497732,3,75x75,0.2,75
UCS,True,148,148.0,4434,4434,74,0.02695800003129989,3,75x75,0.2,75
Greedy,True,160,160.0,167,323,157,0.0013369000516831875,3,75x75,0.2,75
A*,True,148,148.0,3078,3390,318,0.02574740001000464,3,75x75,0.2,75
BFS,True,148,148.0,4485,4485,75,0.023262500064447522,4,75x75,0.2,75
UCS,True,148,148.0,4485,4485,75,0.028003000072203577,4,75x75,0.2,75
Greedy,True,178,178.0,212,385,174,0.0016073000151664019,4,75x75,0.2,75
A*,True,148,148.0,3112,3377,274,0.022205200046300888,4,75x75,0.2,75
