Algorithm,Success,Path Length,Path Cost,Nodes Expanded,Nodes Generated,Max Frontier,Execution Time,Trial,Grid Size,Obstacle Probability
A*_Zero,True,98,98.0,1959,1959,52,0.020785000058822334,0,50x50,0.2
A*_Manhattan,True,98,98.0,1194,1289,106,0.021962800063192844,0,50x50,0.2
A*_Weighted,True,106,106.0,120,215,96,0.0022357000270858407,0,50x50,0.2
A*_Zero,True,98,98.0,1962,1962,51,0.015150599996559322,1,50x50,0.2
A*_Manhattan,True,98,98.0,758,856,103,0.004967199987731874,1,50x50,0.2
A*_Weighted,True,114,114.0,186,298,106,0.001433099969290197,1,50x50,0.2
A*_Zero,True,98,98.0,2010,2012,48,0.014447699999436736,2,50x50,0.2
A*_Manhattan,True,98,98.0,1504,1644,152,0.010343800066038966,2,50x50,0.2
A*_Weighted,True,114,114.0,184,302,114,0.0014535000082105398,2,50x50,0.2
A*_Zero,True,98,98.0,1978,1978,49,0.012148000067099929,3,50x50,0.2
A*_Manhattan,True,98,98.0,1373,1524,154,0.009280099999159575,3,50x50,0.2
A*_Weighted,True,108,108.0,156,261,98,0.0011506000300869346,3,50x50,0.2
A*_Zero,True,98,98.0,1963,1963,51,0.012114600045606494,4,50x50,0.2
A*_Manhattan,True,98,98.0,1336,1489,161,0.014174400013871491,4,50x50,0.2
A*_Weighted,True,104,104.0,149,259,108,0.0018337999936193228,4,50x50,0.2
A*_Zero,True,98,98.0,2049,2049,46,0.012440099962987006,5,50x50,0.2
A*_Manhattan,True,98,98.0,1512,1616,121,0.010348100098781288,5,50x50,0.2
A*_Weighted,True,108,108.0,135,232,98,0.0010582000249996781,5,50x50,0.2
A*_Zero,True,98,98.0,1961,1961,49,0.011492200079374015,6,50x50,0.2
A*_Manhattan,True,98,98.0,761,846,96,0.00483150000218302,6,50x50,0.2
A*_Weighted,True,100,100.0,129,219,91,0.0009561000624671578,6,50x50,0.2
A*_Zero,True,98,98.0,2004,2004,46,0.011834200005978346,7,50x50,0.2
A*_Manhattan,True,98,98.0,1316,1436,132,0.008476999937556684,7,50x50,0.2
A*_Weighted,True,104,104.0,122,214,93,0.0009015999967232347,7,50x50,0.2
A*_Zero,True,98,98.0,2024,2024,47,0.012607499957084656,8,50x50,0.2
A*_Manhattan,True,98,98.0,1394,1544,157,0.010093200020492077,8,50x50,0.2
A*_Weighted,True,106,106.0,115,213,99,0.0009666000260040164,8,50x50,0.2
A*_Zero,True,100,100.0,1990,1990,51,0.01195960002951324,9,50x50,0.2
A*_Manhattan,True,100,100.0,1572,1779,226,0.010892399935983121,9,50x50,0.2
A*_Weighted,True,112,112.0,254,382,120,0.0019136000191792846,9,50x50,0.2
A*_Zero,True,98,98.0,1978,1978,40,0.011828199960291386,10,50x50,0.2
A*_Manhattan,True,98,98.0,1289,1419,141,0.008575199986808002,10,50x50,0.2
A*_Weighted,True,110,110.0,187,301,107,0.0013578999787569046,10,50x50,0.2
A*_Zero,True,98,98.0,1990,1990,48,0.011963000055402517,11,50x50,0.2
A*_Manhattan,True,98,98.0,1483,1614,143,0.009625800070352852,11,50x50,0.2
A*_Weighted,True,110,110.0,199,323,114,0.0014276000438258052,11,50x50,0.2
A*_Zero,True,98,98.0,1973,1973,51,0.012633900041691959,12,50x50,0.2
A*_Manhattan,True,98,98.0,1311,1453,153,0.008762400015257299,12,50x50,0.2
A*_Weighted,True,104,104.0,110,215,106,0.0008455000352114439,12,50x50,0.2
A*_Zero,True,98,98.0,2006,2006,53,0.01212089997716248,13,50x50,0.2
A*_Manhattan,True,98,98.0,1311,1440,143,0.008448899956420064,13,50x50,0.2
A*_Weighted,True,102,102.0,113,216,104,0.0008573000086471438,13,50x50,0.2
A*_Zero,True,98,98.0,1979,1979,49,0.012859300011768937,14,50x50,0.2
A*_Manhattan,True,98,98.0,1096,1209,123,0.007154199993237853,14,50x50,0.2
A*_Weighted,True,104,104.0,118,219,100,0.0009568999521434307,14,50x50,0.2
A*_Zero,True,98,98.0,1988,1989,47,0.01237750006839633,15,50x50,0.2
A*_Manhattan,True,98,98.0,1315,1440,132,0.00860970001667738,15,50x50,0.2
A*_Weighted,True,106,106.0,137,237,100,0.0010011999402195215,15,50x50,0.2
A*_Zero,True,98,98.0,2007,2007,49,0.012803800054825842,16,50x50,0.2
A*_Manhattan,True,98,98.0,1299,1432,142,0.008791300002485514,16,50x50,0.2
A*_Weighted,True,114,114.0,150,254,103,0.0010937999468296766,16,50x50,0.2
A*_Zero,True,98,98.0,2024,2024,52,0.012024899944663048,17,50x50,0.2
A*_Manhattan,True,98,98.0,1477,1621,150,0.010212499997578561,17,50x50,0.2
A*_Weighted,True,110,110.0,126,231,105,0.0009864000603556633,17,50x50,0.2
A*_Zero,True,98,98.0,1976,1977,53,0.011595699936151505,18,50x50,0.2
A*_Manhattan,True,98,98.0,1436,1571,142,0.009202699991874397,18,50x50,0.2
A*_Weighted,True,108,108.0,154,244,90,0.0010985999833792448,18,50x50,0.2
A*_Zero,True,98,98.0,2007,2007,47,0.013016599928960204,19,50x50,0.2
A*_Manhattan,True,98,98.0,1314,1435,138,0.009386199992150068,19,50x50,0.2
A*_Weighted,True,114,114.0,142,245,102,0.0010946999536827207,19,50x50,0.2
