Algorithm,Success,Path Length,Path Cost,Nodes Expanded,Nodes Generated,Max Frontier,Execution Time,Trial,Grid Size,Obstacle Probability,Obstacle Density
BFS,True,98,98.0,2266,2266,50,0.01317589997779578,0,50x50,0.1,0.1
UCS,True,98,98.0,2266,2266,50,0.01813650003168732,0,50x50,0.1,0.1
Greedy,True,102,102.0,104,213,110,0.0008713999995961785,0,50x50,0.1,0.1
A*,True,98,98.0,1957,2047,127,0.014595200074836612,0,50x50,0.1,0.1
BFS,True,98,98.0,2244,2244,49,0.012012199964374304,1,50x50,0.1,0.1
UCS,True,98,98.0,2244,2244,49,0.015258600004017353,1,50x50,0.1,0.1
Greedy,True,116,116.0,134,250,117,0.0010469000553712249,1,50x50,0.1,0.1
A*,True,98,98.0,2076,2139,98,0.014214000082574785,1,50x50,0.1,0.1
BFS,True,98,98.0,2259,2259,50,0.011305300053209066,2,50x50,0.1,0.1
UCS,True,98,98.0,2259,2259,50,0.01482210005633533,2,50x50,0.1,0.1
Greedy,True,102,102.0,105,200,96,0.0008038999512791634,2,50x50,0.1,0.1
A*,True,98,98.0,2064,2127,95,0.014640600071288645,2,50x50,0.1,0.1
BFS,True,98,98.0,2258,2258,55,0.013073100009933114,3,50x50,0.1,0.1
UCS,True,98,98.0,2258,2258,55,0.01545920001808554,3,50x50,0.1,0.1
Greedy,True,118,118.0,125,243,119,0.0010484999511390924,3,50x50,0.1,0.1
A*,True,98,98.0,1904,2005,128,0.01333879993762821,3,50x50,0.1,0.1
BFS,True,98,98.0,2252,2252,49,0.011526999995112419,4,50x50,0.1,0.1
UCS,True,98,98.0,2252,2252,49,0.014928500051610172,4,50x50,0.1,0.1
Greedy,True,106,106.0,107,215,109,0.0008228999795392156,4,50x50,0.1,0.1
A*,True,98,98.0,2047,2119,105,0.013776600011624396,4,50x50,0.1,0.1
BFS,True,98,98.0,1981,1981,49,0.010126500041224062,0,50x50,0.2,0.2
UCS,True,98,98.0,1981,1981,49,0.011981200077570975,0,50x50,0.2,0.2
Greedy,True,118,118.0,175,283,109,0.001243900042027235,0,50x50,0.2,0.2
A*,True,98,98.0,1159,1283,136,0.007629700005054474,0,50x50,0.2,0.2
BFS,True,98,98.0,1987,1987,50,0.011023600003682077,1,50x50,0.2,0.2
UCS,True,98,98.0,1987,1987,50,0.01279670000076294,1,50x50,0.2,0.2
Greedy,True,112,112.0,118,231,114,0.0009046999039128423,1,50x50,0.2,0.2
A*,True,98,98.0,1108,1251,151,0.007745999959297478,1,50x50,0.2,0.2
BFS,True,98,98.0,1976,1977,58,0.010217999923042953,2,50x50,0.2,0.2
UCS,True,98,98.0,1976,1977,58,0.01224399998318404,2,50x50,0.2,0.2
Greedy,True,116,116.0,146,251,106,0.0011131999781355262,2,50x50,0.2,0.2
A*,True,98,98.0,1393,1526,140,0.009861200000159442,2,50x50,0.2,0.2
BFS,True,98,98.0,1987,1987,46,0.009929300053045154,3,50x50,0.2,0.2
UCS,True,98,98.0,1987,1987,46,0.011625900049693882,3,50x50,0.2,0.2
Greedy,True,106,106.0,121,210,90,0.0008725000079721212,3,50x50,0.2,0.2
A*,True,98,98.0,1410,1500,103,0.008990800008177757,3,50x50,0.2,0.2
BFS,True,98,98.0,1982,1982,45,0.010595900006592274,4,50x50,0.2,0.2
UCS,True,98,98.0,1982,1982,45,0.011841799947433174,4,50x50,0.2,0.2
Greedy,True,110,110.0,117,211,95,0.0010002999333664775,4,50x50,0.2,0.2
A*,True,98,98.0,1303,1423,135,0.009057199931703508,4,50x50,0.2,0.2
BFS,True,98,98.0,1667,1667,55,0.008707699947990477,0,50x50,0.3,0.3
UCS,True,98,98.0,1667,1667,55,0.010312499944120646,0,50x50,0.3,0.3
Greedy,True,120,120.0,179,262,84,0.001246799947693944,0,50x50,0.3,0.3
A*,True,98,98.0,584,687,107,0.004272599937394261,0,50x50,0.3,0.3
BFS,True,100,100.0,1714,1719,43,0.009033599984832108,1,50x50,0.3,0.3
UCS,True,100,100.0,1714,1719,43,0.010278100031428039,1,50x50,0.3,0.3
Greedy,True,108,108.0,140,223,84,0.0010010000551119447,1,50x50,0.3,0.3
A*,True,100,100.0,651,752,104,0.004365100059658289,1,50x50,0.3,0.3
BFS,True,98,98.0,1714,1715,49,0.008514299988746643,2,50x50,0.3,0.3
UCS,True,98,98.0,1714,1715,49,0.010435899952426553,2,50x50,0.3,0.3
Greedy,True,128,128.0,176,273,98,0.0012376999948173761,2,50x50,0.3,0.3
A*,True,98,98.0,589,706,120,0.0039326000260189176,2,50x50,0.3,0.3
BFS,True,102,102.0,1690,1692,39,0.009845699998550117,3,50x50,0.3,0.3
UCS,True,102,102.0,1690,1692,39,0.01078460004646331,3,50x50,0.3,0.3
Greedy,True,144,144.0,184,276,93,0.0013307000044733286,3,50x50,0.3,0.3
A*,True,102,102.0,588,687,87,0.004152599954977632,3,50x50,0.3,0.3
BFS,True,100,100.0,1724,1724,45,0.009175800019875169,4,50x50,0.3,0.3
UCS,True,100,100.0,1724,1724,45,0.01005259994417429,4,50x50,0.3,0.3
Greedy,True,122,122.0,158,249,92,0.001080299960449338,4,50x50,0.3,0.3
A*,True,100,100.0,712,824,115,0.005316999973729253,4,50x50,0.3,0.3
